product_id,category,subcategory,title,brand,silhouette,neckline,sleeve,length,material,pattern,color,style,fit,season,occasion,size_system,size_type,sizes,price_usd,currency,stock,care,country_of_origin,description,image_url
SEED-1015,Apparel,Dress,Gold Fit-and-Flare Dress,TrendTetra,A-line,Boat,Cap,Maxi,Silk,Animal,Blush Pink,Classic,Regular,Fall,Prom,US,Regular,"L,XL,M,XS,S",140.4,USD,13,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1015
SEED-1016,Apparel,Dress,Burgundy Fit-and-Flare Dress,Kiimuza,Empire,V-neck,Short,Midi,Viscose,Striped,Navy,Boho,Regular,Spring,Vacation,UK,Regular,"10,12,14",100.1,USD,14,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1016
SEED-1017,Apparel,Dress,Sky Blue Slip Dress,Monleaf,Slip,Boat,One-shoulder,Maxi,Viscose,Lace,Sky Blue,Elegant,Regular,Spring,Wedding Guest,EU,Regular,"36,42,34,38",157.09,USD,16,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1017
SEED-1018,Apparel,Dress,Mustard Wrap Dress,Aardrop,A-line,Off-shoulder,Sleeveless,Maxi,Denim,Striped,Mint,Elegant,Relaxed,Spring,Prom,UK,Plus,"10,14,8,6",117.09,USD,7,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1018
SEED-1019,Apparel,Dress,Blush Pink Wrap Dress,TryLoop,Mini,Off-shoulder,One-shoulder,Knee,Knit,Plaid,Sage,Sporty-chic,Tailored,Spring,Wedding Guest,UK,Petite,"12,10,8,14",47.61,USD,37,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1019
SEED-1020,Apparel,Dress,Silver Sheath Dress,Aardrop,Maxi,Boat,Sleeveless,Knee,Chiffon,Striped,Red,Boho,Regular,Spring,Casual,EU,Regular,"40,36,38,42",108.88,USD,39,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1020
SEED-1021,Apparel,Dress,Burgundy Fit-and-Flare Dress,Lunbee,Sheath,Off-shoulder,Short,Knee,Denim,Geometric,White,Elegant,Tailored,Summer,Work,EU,Petite,"42,36,38,40,34",90.0,USD,29,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1021
SEED-1022,Apparel,Dress,Emerald Slip Dress,FragFit,Mini,Halter,Cap,Ankle,Satin,Plaid,Emerald,Vintage,Regular,Fall,Evening,EU,Petite,"42,40,38,36,34",73.55,USD,34,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1022
SEED-1023,Apparel,Dress,Ivory Empire Dress,TryLoop,Bodycon,Collared,Long,Ankle,Cotton,Striped,Olive,Romantic,Relaxed,All-season,Casual,US,Plus,"L,S,M",84.23,USD,0,Hand wash,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1023
SEED-1024,Apparel,Dress,Olive Shirt Dress Dress,Lunbee,Empire,Boat,One-shoulder,Ankle,Silk,Geometric,Blush Pink,Edgy,Tailored,All-season,Casual,EU,Petite,"42,36,40,34",115.11,USD,1,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1024
SEED-1025,Apparel,Dress,Red Shirt Dress Dress,Delta Closet,Bodycon,Off-shoulder,3/4,Ankle,Chiffon,Floral,Lavender,Street,Regular,All-season,Casual,US,Petite,"S,XS,XL,M",49.57,USD,4,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1025
SEED-1026,Apparel,Dress,Burgundy Fit-and-Flare Dress,Zetastore,Mini,Round,Cap,Knee,Wool Blend,Plaid,Mint,Boho,Regular,All-season,Date Night,US,Plus,"S,XS,M",90.29,USD,10,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1026
SEED-1027,Apparel,Dress,Ivory Midi Dress,FragFit,Sheath,Halter,One-shoulder,Maxi,Linen,Solid,Mint,Romantic,Tailored,Winter,Prom,UK,Regular,"10,12,8",95.54,USD,21,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1027
SEED-1028,Apparel,Dress,Gold Fit-and-Flare Dress,TryLoop,Fit-and-Flare,Collared,One-shoulder,Midi,Knit,Lace,Lavender,Vintage,Relaxed,Winter,Date Night,EU,Petite,"40,38,42",72.4,USD,15,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1028
SEED-1029,Apparel,Dress,Lavender Bodycon Dress,Kiimuza,Shirt Dress,Sweetheart,3/4,Midi,Polyester,Plaid,Brown,Minimalist,Tailored,Fall,Party,EU,Regular,"40,42,36",83.75,USD,12,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1029
SEED-1030,Apparel,Dress,Emerald A-line Dress,Monleaf,Slip,Sweetheart,Long,Knee,Chiffon,Abstract,Lavender,Vintage,Tailored,All-season,Prom,UK,Petite,"12,8,10,14",129.71,USD,35,Hand wash,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1030
SEED-1031,Apparel,Dress,Red Bodycon Dress,Monleaf,Maxi,Square,Short,Knee,Wool Blend,Plaid,Mustard,Classic,Tailored,All-season,Wedding Guest,UK,Regular,"10,14,8,6",134.1,USD,18,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1031
SEED-1032,Apparel,Dress,Violet Slip Dress,Kiimuza,Mini,High-neck,Sleeveless,Mini,Knit,Plaid,Lavender,Minimalist,Relaxed,Winter,Prom,US,Regular,"XS,S,L,XL",117.41,USD,16,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1032
SEED-1033,Apparel,Dress,Blush Pink Midi Dress,Aardrop,Sheath,Sweetheart,Sleeveless,Maxi,Viscose,Striped,Lilac,Boho,Relaxed,Winter,Brunch,US,Petite,"L,XS,M,XL",100.21,USD,27,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1033
SEED-1034,Apparel,Dress,Rose Wrap Dress,Kiimuza,Maxi,Round,Short,Mini,Viscose,Geometric,Gold,Classic,Tailored,Winter,Wedding Guest,UK,Regular,"6,8,10,14,12",76.99,USD,18,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1034
SEED-1035,Apparel,Dress,Violet Wrap Dress,Kiimuza,Slip,Square,Sleeveless,Mini,Silk,Plaid,Brown,Classic,Tailored,All-season,Wedding Guest,US,Petite,"S,M,L,XS,XL",66.81,USD,19,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1035
SEED-1036,Apparel,Dress,Sky Blue Midi Dress,Aardrop,A-line,Round,Short,Maxi,Knit,Solid,Silver,Elegant,Relaxed,All-season,Casual,EU,Regular,"42,40,36,34,38",140.58,USD,28,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1036
SEED-1037,Apparel,Dress,Sky Blue Bodycon Dress,Monleaf,Fit-and-Flare,Boat,Long,Ankle,Chiffon,Animal,Violet,Elegant,Regular,Winter,Work,UK,Petite,"12,6,8,10",107.86,USD,7,Hand wash,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1037
SEED-1038,Apparel,Dress,Grey Shirt Dress Dress,Lunbee,Wrap,Halter,Cap,Knee,Chiffon,Geometric,Gold,Vintage,Relaxed,Spring,Casual,UK,Plus,"12,14,6,10,8",96.75,USD,15,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1038
SEED-1039,Apparel,Dress,Beige Mini Dress,Kiimuza,Shirt Dress,Halter,Cap,Midi,Viscose,Geometric,Lavender,Vintage,Regular,Winter,Party,EU,Regular,"34,40,42,38,36",77.6,USD,38,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1039
SEED-1040,Apparel,Dress,Royal Blue Slip Dress,Mover,Midi,High-neck,Short,Ankle,Denim,Geometric,Mint,Minimalist,Relaxed,All-season,Party,US,Petite,"L,M,XL,S",79.15,USD,20,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1040
SEED-1041,Apparel,Dress,Gold Empire Dress,TryLoop,Mini,Square,Long,Mini,Silk,Lace,Mustard,Vintage,Relaxed,Spring,Brunch,UK,Regular,"8,12,6,14",89.71,USD,29,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1041
SEED-1042,Apparel,Dress,Grey Sheath Dress,Delta Closet,Mini,Collared,Long,Midi,Wool Blend,Lace,White,Elegant,Tailored,Spring,Evening,EU,Plus,"36,34,42,38,40",172.66,USD,18,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1042
SEED-1043,Apparel,Dress,Black A-line Dress,Delta Closet,A-line,Halter,3/4,Midi,Viscose,Polka Dot,Burgundy,Edgy,Tailored,Winter,Date Night,EU,Plus,"34,40,42",137.18,USD,10,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1043
SEED-1044,Apparel,Dress,Emerald Mini Dress,Aardrop,Shirt Dress,Halter,One-shoulder,Mini,Wool Blend,Plaid,Silver,Romantic,Tailored,Summer,Work,UK,Petite,"14,8,12,6",135.07,USD,37,Hand wash,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1044
SEED-1045,Apparel,Dress,Beige Wrap Dress,TryLoop,Midi,Boat,Cap,Midi,Chiffon,Solid,Silver,Vintage,Relaxed,Fall,Casual,UK,Plus,"12,10,6,8",118.53,USD,3,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1045
SEED-1046,Apparel,Dress,Brown Slip Dress,Kiimuza,Mini,Round,One-shoulder,Mini,Chiffon,Geometric,White,Romantic,Tailored,Fall,Cocktail,EU,Regular,"42,38,34",131.87,USD,20,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1046
SEED-1047,Apparel,Dress,Navy Fit-and-Flare Dress,Aardrop,Shirt Dress,Halter,One-shoulder,Midi,Linen,Geometric,Ivory,Sporty-chic,Regular,Summer,Vacation,US,Plus,"S,M,L",56.95,USD,25,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1047
SEED-1048,Apparel,Dress,Mustard Empire Dress,Delta Closet,Sheath,Sweetheart,Long,Mini,Knit,Lace,Sky Blue,Edgy,Tailored,Summer,Work,UK,Plus,"12,10,14",140.62,USD,19,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1048
SEED-1049,Apparel,Dress,Beige Sheath Dress,FragFit,Maxi,Square,Long,Ankle,Polyester,Lace,Olive,Vintage,Tailored,Summer,Vacation,US,Plus,"XS,XL,S",53.42,USD,31,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1049
SEED-1050,Apparel,Dress,Burgundy Bodycon Dress,Monleaf,Mini,Boat,Cap,Midi,Cotton,Animal,Navy,Vintage,Regular,Spring,Brunch,EU,Regular,"38,36,40",101.34,USD,40,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1050
SEED-1051,Apparel,Dress,Violet Wrap Dress,Mover,Wrap,Sweetheart,3/4,Knee,Knit,Solid,Navy,Classic,Regular,Summer,Party,US,Petite,"S,XL,M,XS",130.86,USD,7,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1051
SEED-1052,Apparel,Dress,Black Fit-and-Flare Dress,Aardrop,A-line,Square,One-shoulder,Ankle,Denim,Floral,Ivory,Street,Relaxed,Winter,Prom,US,Plus,"M,S,XL",73.59,USD,28,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1052
SEED-1053,Apparel,Dress,White Shirt Dress Dress,TryLoop,Empire,Round,Long,Ankle,Linen,Floral,Sky Blue,Minimalist,Tailored,Summer,Work,UK,Regular,"14,10,8",65.63,USD,40,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1053
SEED-1054,Apparel,Dress,Grey Mini Dress,TrendTetra,Wrap,Off-shoulder,Long,Knee,Viscose,Abstract,Emerald,Classic,Relaxed,Winter,Work,EU,Petite,"42,38,36,40,34",95.54,USD,16,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1054
SEED-1055,Apparel,Dress,Beige Bodycon Dress,Kiimuza,Maxi,V-neck,Cap,Maxi,Denim,Abstract,Silver,Elegant,Regular,Winter,Prom,UK,Plus,"6,14,12,10",211.17,USD,27,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1055
SEED-1056,Apparel,Dress,Burgundy Sheath Dress,Delta Closet,Maxi,Boat,Sleeveless,Midi,Knit,Striped,Olive,Vintage,Tailored,All-season,Date Night,EU,Plus,"38,42,34,40,36",99.63,USD,1,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1056
SEED-1057,Apparel,Dress,Black Fit-and-Flare Dress,Kiimuza,Midi,Off-shoulder,Sleeveless,Knee,Cotton,Floral,Lilac,Street,Regular,Winter,Vacation,US,Petite,"M,XL,S",57.16,USD,23,Hand wash,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1057
SEED-1058,Apparel,Dress,Navy Shirt Dress Dress,TryLoop,Shirt Dress,High-neck,Long,Midi,Satin,Lace,Beige,Classic,Relaxed,Winter,Work,UK,Petite,"6,14,12,10,8",119.43,USD,37,Hand wash,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1058
SEED-1059,Apparel,Dress,Royal Blue Wrap Dress,Kiimuza,Slip,Halter,3/4,Mini,Cotton,Geometric,Olive,Romantic,Regular,Summer,Vacation,US,Plus,"L,XS,XL",113.33,USD,32,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1059
SEED-1060,Apparel,Dress,Sky Blue Midi Dress,TryLoop,Midi,Off-shoulder,One-shoulder,Ankle,Chiffon,Floral,Sage,Classic,Regular,Fall,Cocktail,US,Plus,"XS,L,XL,S",98.71,USD,23,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1060
SEED-1061,Apparel,Dress,Sage Slip Dress,Delta Closet,Wrap,Boat,Short,Mini,Denim,Floral,Lilac,Classic,Tailored,Summer,Prom,US,Petite,"L,XL,M",124.1,USD,9,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1061
SEED-1062,Apparel,Dress,Rose Mini Dress,Zetastore,Shirt Dress,High-neck,One-shoulder,Maxi,Knit,Abstract,Grey,Classic,Relaxed,Summer,Brunch,US,Regular,"S,XL,M,XS",99.55,USD,40,Hand wash,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1062
SEED-1063,Apparel,Dress,Emerald A-line Dress,Lunbee,Bodycon,Halter,Sleeveless,Mini,Knit,Lace,Sage,Vintage,Relaxed,All-season,Party,UK,Plus,"10,6,8",121.15,USD,28,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1063
SEED-1064,Apparel,Dress,Gold Sheath Dress,TrendTetra,Mini,Square,Sleeveless,Knee,Wool Blend,Geometric,Lilac,Street,Tailored,All-season,Cocktail,EU,Petite,"40,36,34,42,38",59.24,USD,18,Hand wash,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1064
SEED-1065,Apparel,Dress,Beige Maxi Dress,TryLoop,Slip,Halter,One-shoulder,Maxi,Silk,Abstract,Ivory,Street,Tailored,Summer,Prom,EU,Petite,"42,34,38,36,40",97.9,USD,25,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1065
SEED-1066,Apparel,Dress,Mint A-line Dress,Delta Closet,Slip,Square,Short,Midi,Wool Blend,Striped,Burgundy,Sporty-chic,Regular,Summer,Work,EU,Petite,"40,38,34,42,36",85.67,USD,6,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1066
SEED-1067,Apparel,Dress,Rose Fit-and-Flare Dress,Mover,Fit-and-Flare,High-neck,Sleeveless,Ankle,Polyester,Striped,Emerald,Boho,Tailored,Fall,Brunch,UK,Regular,"14,8,10,12",77.38,USD,19,Hand wash,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1067
SEED-1068,Apparel,Dress,Lilac Empire Dress,Kiimuza,Wrap,Square,3/4,Mini,Wool Blend,Abstract,Violet,Sporty-chic,Regular,All-season,Work,EU,Petite,"42,40,36,38,34",40.03,USD,10,Hand wash,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1068
SEED-1069,Apparel,Dress,Mint A-line Dress,TryLoop,A-line,Off-shoulder,Cap,Midi,Satin,Animal,Ivory,Vintage,Relaxed,Summer,Casual,UK,Petite,"12,6,14",124.12,USD,21,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1069
SEED-1070,Apparel,Dress,Brown A-line Dress,Monleaf,A-line,Halter,Short,Knee,Denim,Lace,Olive,Vintage,Regular,Fall,Evening,US,Petite,"L,S,M,XL",55.36,USD,15,Hand wash,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1070
SEED-1071,Apparel,Dress,Mustard Wrap Dress,Kiimuza,Slip,Off-shoulder,Sleeveless,Maxi,Polyester,Striped,Mustard,Sporty-chic,Relaxed,Summer,Work,US,Plus,"L,XS,M",93.48,USD,4,Dry clean only,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1071
SEED-1072,Apparel,Dress,Mint Sheath Dress,Delta Closet,Wrap,Round,Cap,Midi,Silk,Solid,Mint,Minimalist,Tailored,Fall,Cocktail,EU,Plus,"34,40,36,38",79.85,USD,30,Dry clean only,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1072
SEED-1073,Apparel,Dress,White Wrap Dress,Lunbee,Bodycon,Halter,Cap,Ankle,Denim,Geometric,Navy,Romantic,Regular,Summer,Wedding Guest,US,Petite,"L,XS,S",127.59,USD,3,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1073
SEED-1074,Apparel,Dress,Sage Bodycon Dress,Kiimuza,Shirt Dress,High-neck,3/4,Maxi,Chiffon,Floral,Olive,Vintage,Regular,Winter,Date Night,EU,Regular,"38,40,36",91.37,USD,20,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1074
SEED-1075,Apparel,Dress,Mint Shirt Dress Dress,Lunbee,Bodycon,Off-shoulder,3/4,Mini,Linen,Animal,Mint,Vintage,Tailored,Summer,Casual,EU,Regular,"38,42,36,40,34",117.14,USD,28,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1075
SEED-1076,Apparel,Dress,Brown Fit-and-Flare Dress,Zetastore,Bodycon,Boat,Long,Mini,Knit,Polka Dot,Lilac,Minimalist,Relaxed,Winter,Prom,US,Plus,"M,XL,S",65.9,USD,7,Machine wash cold,US,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1076
SEED-1077,Apparel,Dress,Brown Slip Dress,Zetastore,Wrap,Round,Short,Mini,Wool Blend,Polka Dot,Gold,Romantic,Relaxed,Spring,Prom,EU,Plus,"40,34,36,38,42",81.27,USD,4,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1077
SEED-1078,Apparel,Dress,Beige Wrap Dress,Kiimuza,Wrap,High-neck,Sleeveless,Midi,Denim,Abstract,Emerald,Romantic,Tailored,Summer,Date Night,EU,Regular,"36,38,40",55.92,USD,25,Dry clean only,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1078
SEED-1079,Apparel,Dress,Emerald Shirt Dress Dress,TrendTetra,Bodycon,Square,Cap,Maxi,Silk,Polka Dot,Olive,Classic,Tailored,Spring,Work,UK,Plus,"12,6,14,8",69.54,USD,10,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1079
SEED-1080,Apparel,Dress,Red Mini Dress,TrendTetra,Slip,Square,One-shoulder,Midi,Knit,Lace,Ivory,Edgy,Tailored,Summer,Date Night,UK,Plus,"10,14,6",66.96,USD,39,Dry clean only,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1080
SEED-1081,Apparel,Dress,Grey Wrap Dress,Mover,Empire,V-neck,Long,Maxi,Chiffon,Plaid,Lavender,Edgy,Regular,Winter,Wedding Guest,UK,Petite,"6,14,12",58.03,USD,3,Machine wash cold,EU,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1081
SEED-1082,Apparel,Dress,Gold Bodycon Dress,Delta Closet,Empire,Square,3/4,Maxi,Denim,Floral,Sky Blue,Street,Regular,Winter,Work,EU,Petite,"40,36,42,34",64.22,USD,9,Machine wash cold,TR,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1082
SEED-1083,Apparel,Dress,Mustard Bodycon Dress,FragFit,Fit-and-Flare,High-neck,Cap,Ankle,Wool Blend,Plaid,Lavender,Street,Regular,Spring,Vacation,EU,Plus,"42,40,34,38",64.72,USD,15,Machine wash cold,CN,Synthetic seed dress for testing search and tool-calling.,https://placehold.co/600x800?text=SEED-1083
